index,HS-6 code,HS-10 code,MTI-6 code,소분류 품목명
130,382499,3824997500,290090,조제 탄산칼슘
131,382499,3824997600,290090,액정용 조제품
132,382499,3824997700,290090,암모니아성 가스액
133,382499,3824998000,290090,조제유기과산화물(제3815호의 물품과 제3824.99-4400호의 물품은 제외한다)
134,382499,3824999010,290090,미량요소비료(제31류의 물품은 제외한다)
135,382499,3824999020,290090,추잉껌 베이스
136,382499,3824999030,290090,나프텐산과 이들의 수불용성염과 이들의 에스테르
137,382499,3824999040,290090,수소차 연료전지 제조용 혼합 조제품(흑연을 기본재료로 한 것으로 한정한다)
138,382499,3824999041,290000,니코틴을 함유한 것
139,382499,3824999049,290000,기타
140,382499,3824999051,290090,전해액
141,382499,3824999052,290090,전해액 첨가제
142,382499,3824999090,290090,기타
143,870840,8708400000,742000,기어박스와 그 부분품
144,870360,8703601000,741910,신차
145,870360,8703602000,741910,중고차
146,290220,2902200000,211040,벤젠
147,870850,8708501000,742000,차동장치를 갖춘 구동 차축(변속장치를 갖추었는지에 상관없다)과 그 부분품
148,870850,8708502000,742000,비구동 차축과 그 부분품
149,271012,2710121000,133120,자동차 휘발유
150,271012,2710122000,133110,항공 휘발유
151,271012,2710123000,133900,프로필렌테트라머(propylene tetramer)
152,271012,2710124000,133400,나프타
153,271012,2710125000,133400,엔지엘(NGL)
154,271012,2710129000,133900,기타
155,300215,3002150000,226200,"면역물품(일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것에 한정한다)"
156,284190,2841901000,228900,주석산염
157,284190,2841902010,228900,티탄산바륨
158,284190,2841902090,228900,기타
159,284190,2841903000,228900,안티몬산염
160,284190,2841904000,228900,철산염과 아철산염
161,284190,2841905000,228900,바나듐산염
162,284190,2841909000,228900,기타
163,284190,2841909010,228900,코발트산 리튬
164,284190,2841909020,228900,니켈코발트망간 산화물의 리튬염
165,284190,2841909030,228900,니켈코발트알루미늄 산화물의 리튬염
166,284190,2841909040,228900,니켈코발트망간알루미늄 산화물의 리튬염
167,284190,2841909090,228900,기타
168,850710,8507100000,835210,피스톤식 엔진 시동용 연산(鉛酸)축전지
169,853710,8537101000,841410,배전반
170,853710,8537102020,842520,프로그램이 가능한 제어기
171,853710,8537102090,842530,기타
172,853710,8537103000,849220,"터치감응식 자료입력장치(&acute;터치스크린&acute;이라 불림)[영상 디스플레이 장치가 있는 기기에 결합되어 디스플레이 영역 내의 접촉여부와 위치를 감지하는 기능을 하며, 제시된 상태에서 디스플레이를 갖추지 않은 것으로 한정함]"
173,853710,8537104000,849220,배전용의 것
174,853710,8537105010,842510,수치 제어반
175,853710,8537105020,842520,프로그램이 가능한 제어기
176,853710,8537105090,842530,기타
177,853710,8537109000,849220,기타
178,840734,8407341000,711130,모터사이클의 것
179,840734,8407349000,711130,기타
180,842720,8427201011,725120,신품
181,842720,8427201012,725120,중고품
182,842720,8427201021,725120,신품
183,842720,8427201022,725120,중고품
184,842720,8427209000,712190,기타
185,401110,4011101000,320310,래디알 구조의 것
186,401110,4011102000,320310,바이어스 구조의 것
187,401110,4011109000,320310,기타
188,760612,7606120000,621240,알루미늄 합금으로 만든 것
189,880730,8807301000,747290,비행기의 부분품
190,880730,8807302000,747290,헬리콥터의 부분품
191,880730,8807303000,747220,무인기의 부분품
192,848690,8486901000,732200,보울ㆍ웨이퍼 제조용 기계와 기기의 것
193,848690,8486901010,732200,"제8486.10.1000호,제8486.10.2000호,제8486.10.3010호,제8486.10.3020호,제8486.10.4011호,제8486.10.4021호,제8486.10.5010호,제8486.10.5020호,제8486.10.5030호의것"
194,848690,8486902010,732200,"제8486.20.1000호,제8486.20.2100호,제8486.20.2210호,제8486.20.2310호,제8486.20.2390호,제8486.20.3000호,제8486.20.4000호,제8486.20.5110호,제8486.20.5910호,제8486.20.6010호,제8486.20.6020호,제8486.20.6090호,제8486.20.7000호,제8486.20.8110호,제8486.20.8120호,제8486.20.8410호,제8486.20.8420호,제8486.20.9110호,제8486.20.9120호,제8486.20.9190호,제8486.20.9200호,제8486.20.9310호,제8486.20.9320호,제8486.20.9400호,제8486.20.9500호,제8486.20.9600호의것"
195,848690,8486902020,732200,"제8486.20.2290호,제8486.20.5190호,제8486.20.5990호,제8486.20.8190호,제8486.20.8490호,제8486.20.9390호,제8486.20.9900호의것"
196,848690,8486902030,732200,정전식 척(chuck)
197,848690,8486902040,732200,도포ㆍ현상ㆍ증착ㆍ식각용 기기의 것
198,848690,8486902090,732200,기타
199,848690,8486903010,736200,"제8486.30.1000호,제8486.30.2000호의것"
200,848690,8486903050,736200,유기발광다이오드(오엘이디) 디스플레이 제조용기기의 것
201,848690,8486903060,736200,액정 디스플레이 제조용 기기의 것
202,848690,8486903090,736200,기타
203,848690,8486904000,732200,이 류의 주 제11호다목에서 특정한 기계와 기기의 것
204,848690,8486904010,732200,"제8486.40.1010호,제8486.40.1020호,제8486.40.1030호,제8486.40.2010호,제8486.40.2031호,제8486.40.2070호,제8486.40.2080호,제8486.40.2091호,제8486.40.2094호,제8486.40.2095호,제8486.40.3010호,제8486.40.3090호의것"
205,848690,8486904020,732200,"제8486.40.1040호,제8486.40.1090호,제8486.40.2020호,제8486.40.2039호,제8486.40.2040호,제8486.40.2050호,제8486.40.2092호,제8486.40.2093호,제8486.40.2099호의것"
206,854142,8541420000,831390,광전지(모듈에 조립되었거나 패널로 구성된 것은 제외한다)
207,854370,8543701000,842990,일렉트릭 펜스 에너자이저
208,854370,8543702010,829100,이온정수기
209,854370,8543702020,829100,미용기기
210,854370,8543702030,822490,오디오믹서
211,854370,8543702040,822490,이퀄라이저
212,854370,8543702050,829100,오존 발생기
213,854370,8543702090,829100,기타
